OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SqMiles
1,0003003,3006,110010003003006,110010003003006,98990,1948,251,244,216,7,0,19,0,2,0,0,2,0,27,191,7,0,19,0,0,0,0,2,0,202,181,4,0,14,0,2,0,0,1,0,21,162,4,0,14,0,0,0,0,1,0,119,103,18,24.939804,1907.308123,100927.807295,0.038968
2,0003003,3007,110010003003007,110010003003007,12878,0,24,24,24,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,14,12,2,3.181969,597.445971,12876.972074,0.004972
3,0003003,3008,110010003003008,110010003003008,4085,386,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1.104664,258.903386,4470.414655,0.001726
4,0003003,3009,110010003003009,110010003003009,24772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.120672,649.166608,24769.482273,0.009564
5,0003003,3010,110010003003010,110010003003010,12377,0,108,107,94,0,1,12,0,0,1,0,0,0,2,93,0,1,11,0,0,1,0,0,0,98,84,0,1,12,0,0,1,0,0,0,2,83,0,1,11,0,0,1,0,0,0,37,35,2,3.058173,445.535705,12375.986786,0.004778
6,0003003,3011,110010003003011,110010003003011,12376,0,130,128,117,6,0,5,0,0,1,1,1,0,10,107,6,0,5,0,0,1,1,1,0,123,110,6,0,5,0,0,1,1,1,0,9,101,6,0,5,0,0,1,1,1,0,41,38,3,3.057786,447.50314,12374.422018,0.004778
7,0003003,3012,110010003003012,110010003003012,12345,0,121,111,97,4,0,7,0,3,4,0,6,0,17,83,4,0,7,0,0,4,0,6,0,120,96,4,0,7,0,3,4,0,6,0,17,82,4,0,7,0,0,4,0,6,0,37,35,2,3.05024,446.673636,12343.884017,0.004766
8,0003003,3013,110010003003013,110010003003013,13379,0,118,116,105,2,0,7,0,2,0,0,2,0,11,97,1,0,7,0,0,0,0,2,0,110,97,2,0,7,0,2,0,0,2,0,7,93,1,0,7,0,0,0,0,2,0,38,34,4,3.30563,462.966938,13377.409066,0.005165
9,0003004,4000,110010003004000,110010003004000,21954,0,138,136,129,4,1,0,0,2,0,0,2,0,10,121,4,0,0,0,1,0,0,2,0,120,111,4,1,0,0,2,0,0,2,0,9,104,4,0,0,0,1,0,0,2,0,54,51,3,5.424441,824.679552,21951.935523,0.008476
10,0003004,4001,110010003004001,110010003004001,20186,0,218,212,199,4,0,9,0,0,1,1,3,0,9,191,4,0,9,0,0,1,1,3,0,184,168,4,0,9,0,0,0,1,1,0,5,164,4,0,9,0,0,0,1,1,0,74,73,1,4.987468,619.73336,20183.565942,0.007793
11,0003004,4002,110010003004002,110010003004002,15484,0,172,167,164,0,0,1,0,2,1,0,1,0,9,160,0,0,1,0,0,1,0,1,0,153,145,0,0,1,0,2,1,0,1,0,9,141,0,0,1,0,0,1,0,1,0,63,60,3,3.825693,562.958008,15482.029384,0.005978
12,0003004,4003,110010003004003,110010003004003,8460,0,105,104,102,0,0,2,0,0,0,0,1,0,2,100,0,0,2,0,0,0,0,1,0,88,85,0,0,2,0,0,0,0,1,0,2,83,0,0,2,0,0,0,0,1,0,38,38,0,2.090372,397.375,8459.434188,0.003266
13,0003004,4004,110010003004004,110010003004004,10272,0,97,93,75,1,0,16,0,1,0,0,3,2,6,71,1,0,16,0,0,0,0,3,2,84,66,1,0,13,0,1,0,0,2,2,5,63,1,0,13,0,0,0,0,2,2,43,41,2,2.538125,435.836403,10271.42942,0.003966
14,0003004,4005,110010003004005,110010003004005,17732,0,166,166,159,2,0,4,0,1,0,0,0,0,8,152,2,0,4,0,0,0,0,0,0,141,135,2,0,3,0,1,0,0,0,0,6,130,2,0,3,0,0,0,0,0,0,67,65,2,4.38136,620.936169,17730.733753,0.006846
15,0003004,4006,110010003004006,110010003004006,12145,0,141,135,128,0,0,7,0,0,0,0,3,3,2,126,0,0,7,0,0,0,0,3,3,117,108,0,0,7,0,0,0,0,1,1,2,106,0,0,7,0,0,0,0,1,1,55,54,1,3.000917,505.334499,12144.27869,0.004689
16,0003004,4007,110010003004007,110010003004007,14498,0,137,137,123,3,0,6,0,5,0,0,0,0,11,117,3,0,6,0,0,0,0,0,0,109,100,1,0,5,0,3,0,0,0,0,7,96,1,0,5,0,0,0,0,0,0,51,48,3,3.582172,523.213494,14496.536896,0.005597
17,0003004,4008,110010003004008,110010003004008,12912,0,120,117,113,2,1,1,0,0,0,0,3,0,3,110,2,1,1,0,0,0,0,3,0,101,95,2,0,1,0,0,0,0,3,0,3,92,2,0,1,0,0,0,0,3,0,50,47,3,3.19024,467.197239,12910.443335,0.004985
18,0003004,4009,110010003004009,110010003004009,14807,0,137,133,120,2,0,11,0,0,1,1,3,0,4,116,2,0,11,0,0,1,1,3,0,116,101,2,0,11,0,0,1,1,1,0,4,97,2,0,11,0,0,1,1,1,0,52,51,1,3.658421,511.76608,14805.105447,0.005716
19,0003004,4010,110010003004010,110010003004010,12491,0,135,131,123,1,0,5,0,2,2,1,2,0,5,120,1,0,5,0,0,2,1,2,0,120,111,1,0,3,0,2,2,1,1,0,4,109,1,0,3,0,0,2,1,1,0,54,54,0,3.086211,484.015357,12489.452081,0.004822
