OBJECTID,LICENSE,APPLICANT,TRADE_NAME,ENDORSEMENTS,DESCRIPTIO,CLASS,ADDRESS,ADDRID,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,STATUS,TYPE,X,Y,WARD,ZIPCODE
1001,ABRA-072037,"Lucky Pioneer, Inc,",Mac Market & Deli,,Retail - Liquor Store,A,5185 MACARTHUR BOULEVARD NW,275285,,,,,,CHECKED,,Active,Retail - Liquor Store,391092.19,139878.21,Ward 3,20016
1002,ABRA-072074,"Yene, Incorporated",Brightwood Liquors,,Retail - Liquor Store,A,5916 GEORGIA AVENUE NW,253190,,,,,,,,Active,Retail - Liquor Store,397551.82,143759.22,Ward 4,20011
1003,ABRA-072087,"Hak, LLC",Midtown,,Nightclub,C,1219 CONNECTICUT AVENUE NW,278950,,,,,CHECKED,,,About to Expire,Nightclub,396428.34,137631.49,Ward 2,20036
1004,ABRA-072095,"G.A.L.A., Inc.",Gala Hispanic Theatre,,Multipurpose,C,3333 14TH STREET NW,299650,,,,,,,,Active,Multipurpose,397187.18,140338.09,Ward 1,20010
1005,ABRA-060496,"LAL, Inc.",Roha Liquors,,Retail - Liquor Store,A,620 KENNEDY STREET NW,246753,,,,,,,,Active,Retail - Liquor Store,398107.87,143145.69,Ward 4,20011
1006,ABRA-060504,"Safeway, Inc.",Safeway,,Retail - Grocery,B,2845 ALABAMA AVENUE SE,278282,,,,,,,,Active,Retail - Grocery,402892.75,132357.23,Ward 7,20020
1007,ABRA-060518,"Washington Wholesale Liquor Company, LLC",Breakthru Beverage Washington D.C.,,Wholesaler,A,2800 V STREET NE,287275,,,,,,,,Active,Wholesaler,402687.5,139127.37,Ward 5,20018
1008,ABRA-060532,"JY Rigg's Liquors, Inc.",Rigg's Liquors,,Retail - Liquor Store,A,5581 SOUTH DAKOTA AVENUE NE,288682,,,,,,CHECKED,,Active,Retail - Liquor Store,399909.66,143360.18,Ward 4,20011
1009,ABRA-071113,"The Doghouse Companies, LLC",W Domku,,Tavern,C,821 UPSHUR STREET NW,252472,,,,CHECKED,,,,About to Expire,Tavern,397899.91,141590.95,Ward 4,20011
1010,ABRA-071127,"RMR CAPITAL, LLC",Five Guys,,Restaurant,C,1335 WISCONSIN AVENUE NW,277009,,,,CHECKED,,,,Safekeeping,Restaurant,394516.88,137739.81,Ward 2,20007
1011,ABRA-071156,"Bar 9, LLC",DC 9,,Nightclub,C,1940 9TH STREET NW,279498,,,,,CHECKED,,,About to Expire,Nightclub,397899.19,138760.66,Ward 1,20001
1012,ABRA-071165,"Millbank Partners-Mass Ave., LP",Courtyard By Marriott Embassy Row,,Hotel,C,1600 RHODE ISLAND AVENUE NW,242882,,,,,,,,Active,Hotel,396793.26,137645.95,Ward 2,20036
1013,ABRA-071202,"The Wonderland Ballroom, Llc.",The Wonderland Ballroom,,Nightclub,C,1101 KENYON STREET NW,231161,,,,CHECKED,CHECKED,,,About to Expire,Nightclub,397573.56,140228.27,Ward 1,20010
1014,ABRA-071278,"Trader Joe's East, Inc.",Trader Joe's # 653,,Retail - Grocery,B,2425 L STREET NW,300365,,,,,,CHECKED,,Active,Retail - Grocery,395458.98,137377.1,Ward 2,20037
1015,ABRA-071312,"AKB Enterprises, Inc.",Gandel's Liquors,,Retail - Liquor Store,A,211 PENNSYLVANIA AVENUE SE,300079,,,,,,CHECKED,,Active,Retail - Liquor Store,399737.72,135480.16,Ward 6,20003
1016,ABRA-071324,"JK Market, Inc.",Paramount Market,,Retail - Grocery,B,2200 16TH STREET SE,50746,,,,,,,,Active,Retail - Grocery,401523.22,132849.11,Ward 8,20020
1017,ABRA-071352,"1420 Pennsy, LLC",Trusty's Bar,,Tavern,C,1420 PENNSYLVANIA AVENUE SE,64202,,,,CHECKED,,,,About to Expire,Tavern,401356.95,134709.01,Ward 6,20003
1018,ABRA-071419,"Bon Appetit Management, Company",Bon Appetit Management Company,,Restaurant,D,600 NEW JERSEY AVENUE NW,300811,,,,,,,,Active,Restaurant,398907.09,136664.78,Ward 6,20001
1019,ABRA-071676,"RPM Restaurant, LLC",Shelly's Back Room,,Tavern,C,1331 F STREET NW,240659,,,,CHECKED,,,,About to Expire,Tavern,397317.22,136643.83,Ward 2,20004
1020,ABRA-071698,"James Mackey Investors,l.P.",Mackey's,,Tavern,C,1823 L STREET NW,241297,,CHECKED,,CHECKED,,,,About to Expire,Tavern,396295.71,137347.68,Ward 2,20036
1021,ABRA-071717,"1900 M Restaurant Associates, Inc.",Rumors Restaurant,,Nightclub,C,1900 M STREET NW,243290,,,,CHECKED,,,,About to Expire,Nightclub,396194.9,137501.31,Ward 2,20036
1022,ABRA-079660,"DC Born & Bread, LLC",DC Bread & Brew,,Restaurant,C,1247 20TH STREET NW,243289,,CHECKED,,CHECKED,,,,About to Expire,Restaurant,396128.15,137680.33,Ward 2,20036
1023,ABRA-079795,Connect Corporation,M & S Market,,Retail - Liquor Store,A,213 UPSHUR STREET NW,244388,,,,,,,,Active,Retail - Liquor Store,398757,141618.2,Ward 4,20011
1024,ABRA-079896,6th & Q LLC,6th & Q Market,,Retail - Grocery,B,523 Q STREET NW,279825,,,,,,,,Active,Retail - Grocery,398292.77,138160.89,Ward 6,20001
1025,ABRA-072780,"Aha, Corp.",Java House,,Restaurant,D,1645 Q STREET NW,279285,,,,CHECKED,,,,Safekeeping,Restaurant,396688.69,138159.72,Ward 2,20009
1026,ABRA-073058,In Ja Kim,Chinatown Liquor,,Retail - Liquor Store,A,602 H STREET NW,279845,,,,,,,,Active,Retail - Liquor Store,398242.55,136868.28,Ward 2,20001
1027,ABRA-073188,"Simply Home Cuisine, LLC",D C Noodles,,Restaurant,C,1410 U STREET NW,301494,,,,,,,,Active,Restaurant,397184.2,138774.93,Ward 2,20009
1028,ABRA-073292,Wardman Hotel LLC,Washington D C Marriott Wardman Park Hotel,,Hotel,C,2660 WOODLEY ROAD NW,284450,,CHECKED,,,CHECKED,,,Issued,Hotel,395256.86,139650.43,Ward 3,20008
1029,ABRA-073781,"Bowen Enterprise, Inc.",Bowen Discount,,Retail - Liquor Store,A,4510 BOWEN ROAD SE,20396,,,,,,CHECKED,,Active,Retail - Liquor Store,405699.02,134011.76,Ward 7,20019
1030,ABRA-073809,Lucky Strike Washington DC LLC,Lucky Strike,,Nightclub,C,701 7TH STREET NW,297655,,,,,CHECKED,,,About to Expire,Nightclub,398172.32,136771.35,Ward 2,20001
1031,ABRA-073973,Xaing Fong Corporation,North Sea Carry-out Restaurant,,Retail - Grocery,B,2479 18TH STREET NW,235623,,,,,,,,Active,Retail - Grocery,396326.5,139399.57,Ward 1,20009
1032,ABRA-074073,Levy Premium Foodservice Limited Partnership,Levy Restaurant at MCI Center - Capitol Club,,Tavern,C,601 F STREET NW,238712,,,,,,,,About to Expire,Tavern,398182.26,136676.82,Ward 2,20004
1033,ABRA-078461,"M & M Beer & Wine, Inc.",M & M Market,,Retail - Grocery,B,3544 EAST CAPITOL STREET NE,287972,,,,,,,,Active,Retail - Grocery,403980.2,135818.48,Ward 7,20019
