OBJECTID,Name,ADDRESS,X,Y,ADDRID
1,9:30 CLUB,815 V STREET NW,397949.9,138905.14,285441
2,AQUA,1818 NEW YORK AVENUE NE,402020.97,138872.09,55416
3,ARCHIBALD'S,1520 K STREET NW,396913.31,137142.77,218319
4,BACHELOR'S MILL,1104 8TH STREET SE,400455.72,134371.92,285834
5,BAR 7,1015 1/2 7TH STREET NW,398125.37,137294.99,278097
6,BARCODE,1101 17TH STREET NW,396692.75,137355.36,278813
7,BLACK CAT ,1811 14TH STREET NW,397263.94,138523.73,240469
8,BLUES ALLEY,1073 WISCONSIN AVENUE NW,394574.16,137427.11,273839
9,BOSSA BISTRO & LOUNGE,2463 18TH STREET NW,396340.93,139357.23,235591
10,CAFÉ CITRON,1343 CONNECTICUT AVENUE NW,396327.44,137842.56,285509
11,CAFÉ JAPONE,2032 P STREET NW,395977.42,137960.81,242770
12,CAMELOT SHOW BAR,1823 M STREET NW,396295.3,137560.75,241271
13,CAPITALE,1301 K STREET NW,397352.63,137230.54,240647
14,CAPITOL LOUNGE ,229 PENNSYLVANIA AVENUE SE,399787.23,135455.4,278137
15,CHI CHA LOUNGE,1624 U STREET NW,396713.47,138766.04,226300
16,CHIEF IKE'S MAMBO ROOM,1725 COLUMBIA ROAD NW,396521.62,139646.42,235940
17,CITIES,919 19TH STREET NW,396259.3,137115.71,308910
18,COLBALT,1639 R STREET NW,396687.8,138326.71,243123
19,CUBA LIBRE,801 9TH STREET NW,397951.37,136947.56,285560
20,DC STAR,2135 QUEENS CHAPEL ROAD NE,402393.44,139115.14,286671
21,DC9,1940 9TH STREET NW,397899.19,138760.66,279498
22,DIRTY BAR,1223 CONNECTICUT AVENUE NW,396424.45,137648.32,241771
23,DIRTY MARTINI,1223 CONNECTICUT AVENUE NW,396424.45,137648.32,241771
24,DISTRICT,2473 18TH STREET NW,396334.29,139384.62,218139
25,ECHOSTAGE,2135 QUEENS CHAPEL ROAD NE,402393.44,139115.14,286671
26,EDEN,1716 I STREET NW,396510.05,137022.64,279328
27,EIGHTEENTH STREET LOUNGE,1212 18TH STREET NW,396359.98,137595.94,241288
28,EYEBAR,1716 I STREET NW,396510.05,137022.64,279328
29,FATBACK,2001 11TH STREET NW,397673.99,138810.29,239179
30,FUR,33 PATTERSON STREET NE,399304,137598.67,37072
31,GRAND CENTRAL,2447 18TH STREET NW,396353.02,139320.5,218136
32,HABANA VILLAGE,1834 COLUMBIA ROAD NW,396258.42,139318.55,235389
33,HEAVEN & HELL,2327 18TH STREET NW,396392.63,139173.94,235600
34,HEIST,1802 JEFFERSON PLACE NW,396339.56,137612.62,303475
35,HR-57,1007 H STREET NE,400670.52,136902.49,149707
36,IBIZA,1222 1ST STREET NE,399450.76,137651.85,70970
37,INDULJ,1208 U STREET NW,397528.61,138770.97,218050
38,JOSEPHINE,1008 VERMONT AVENUE NW,397064.91,137244.11,307130
39,KABIN,1337 CONNECTICUT AVENUE NW,396337.4,137825.96,279096
40,L2 LOUNGE,3315 CADY'S ALLEY NW,394217.26,137442.45,302277
41,LIMA,1401 K STREET NW,397197.07,137230.39,240265
42,LITTLE MISS WHISKEY'S GOLDEN DOLLAR,1104 H STREET NE,400762.09,136948.32,74492
43,LIV NIGHTCLUB,2001 11TH STREET NW,397673.99,138810.29,239179
44,LOST SOCIETY,2001 14TH STREET NW,397248.69,138809.3,240357
45,LOTUS LOUNGE,1420 K STREET NW,397153.92,137143.57,240271
46,LOVE,1350 OKIE STREET NE,401214.08,138515.32,66106
47,LUX LOUNGE,649 NEW YORK AVENUE NW,398147.67,137281.83,218713
48,M.I.A,1214 18TH STREET NW,396359.74,137603.14,309094
49,MADHATTER,1319 CONNECTICUT AVENUE NW,396359.03,137783.56,243295
50,MADAM'S ORGAN,2461 18TH STREET NW,396342.15,139351.28,235590
51,MCCXXIII-SPANK,1223 CONNECTICUT AVENUE NW,396424.45,137648.32,241771
52,MIDTOWN PARTYPLEX,1219 CONNECTICUT AVENUE NW,396428.34,137631.49,278950
53,MUSE LOUNGE,717 6TH STREET NW,398301.6,136789.08,238948
